/M0/D X,/M0/D Y
0,1.098199222532292e-14
9.917890024224408e-13,5.621152165419194e-09
1.733148387335177e-12,5.281024847661163e-09
3.215867157160651e-12,4.573358666588426e-09
6.181304696811597e-12,3.369556998778854e-09
1.211217977611349e-11,1.639444475879069e-09
1.893934948661531e-11,4.459040196547555e-10
2.584362154033088e-11,-1.958322997139122e-10
3.338719083963187e-11,-5.169032016634994e-10
4.180782744313083e-11,-6.275085985398203e-10
5.153425287658502e-11,-6.077101219634324e-10
6.318755687738629e-11,-5.139106207790387e-10
7.767104659408398e-11,-3.881684447398849e-10
9.665218840546991e-11,-2.602922052692737e-10
1.24163125201837e-10,-1.460167835197129e-10
1.685413034639081e-10,-5.436651938381558e-11
2.19318498468021e-10,-1.09240544650662e-11
2.704969405533904e-10,-6.821874339959701e-12
3.255658982603485e-10,-9.377162504390079e-11
3.580411539782421e-10,-3.323000028413389e-10
3.903921801486878e-10,-8.774123694191496e-10
4.151087866787016e-10,-1.607890344332714e-09
4.337116335028036e-10,-2.320081931018746e-09
4.506743740347393e-10,-3.014380494318973e-09
4.656614494486467e-10,-3.521802787425124e-09
4.810806453918476e-10,-4.322458345470101e-09
4.935597289811551e-10,-4.906670437443925e-09
5.082816069878682e-10,-5.6622012551052e-09
5.19553362597923e-10,-6.441660624457707e-09
5.299059591161509e-10,-7.31584804458887e-09
5.431829260704013e-10,-8.591828686541667e-09
5.545934446735558e-10,-9.96773500183452e-09
5.659143875502205e-10,-1.110252345065929e-08
5.812507200253433e-10,-1.20345047190742e-08
5.937875592950644e-10,-1.247369637043398e-08
6.062769965717987e-10,-1.293773052433116e-08
6.236495783161294e-10,-1.362795559707895e-08
6.508772127468476e-10,-1.502947949429963e-08
6.651478265213178e-10,-1.623464571113319e-08
6.793098678375184e-10,-1.782968935811638e-08
6.923130750370353e-10,-1.967504612019943e-08
7.038176375882375e-10,-2.162654640017062e-08
7.145870896670745e-10,-2.362276440918915e-08
7.246649386685588e-10,-2.534725449255224e-08
7.341062909155275e-10,-2.618545829709344e-08
7.430766297788349e-10,-2.499591005643938e-08
7.517918457936465e-10,-1.965628509624942e-08
7.583497728999815e-10,-1.056031975242915e-08
7.635610808094183e-10,1.17008460775872e-09
7.680986268381732e-10,1.532064871495832e-08
7.722191306188838e-10,3.187039876512558e-08
7.760948064299769e-10,5.111886721892329e-08
7.798026081735624e-10,7.329631224230422e-08
7.833718065626585e-10,9.848560864494317e-08
7.868253603089544e-10,1.267532220120365e-07
7.901828645079569e-10,1.581672478456839e-07
7.934606992050816e-10,1.928080891591866e-07
7.9667088512079e-10,2.307627260934735e-07
7.998195057415813e-10,2.721008006344334e-07
8.029073066210381e-10,3.122541430866508e-07
8.066130374704873e-10,3.700793056445987e-07
8.092963009454943e-10,4.202304778819527e-07
8.116655194642948e-10,4.673666303468247e-07
8.142940569140843e-10,5.247692770817739e-07
8.168042001038291e-10,5.85422344608945e-07
8.192194962306931e-10,6.502025322722743e-07
8.215391545220529e-10,7.195124258959749e-07
8.237374139280059e-10,7.928165561136993e-07
8.258262419097897e-10,8.703512522682036e-07
8.278310465505316e-10,9.525358899589309e-07
8.297905970773776e-10,1.040109398485909e-06
8.317581889899769e-10,1.134485142348531e-06
8.33797027607674e-10,1.237965936816404e-06
8.359636823260725e-10,1.353291343474764e-06
8.382771632766278e-10,1.482089700959545e-06
8.407072020585956e-10,1.62376121888644e-06
8.43189064887261e-10,1.775437428187087e-06
8.456854254472167e-10,1.935340714930349e-06
8.480363029664177e-10,2.093097969316685e-06
8.502098667244714e-10,2.245753667574036e-06
8.522643119151592e-10,2.396661319007881e-06
8.542302350439874e-10,2.547809424284516e-06
8.561123779864154e-10,2.699494684534362e-06
8.579125842226948e-10,2.85177589610661e-06
8.596357377184477e-10,3.004924756740378e-06
8.612908217659443e-10,3.159560352226264e-06
8.62892570642558e-10,3.316866039879865e-06
8.64463417683919e-10,3.478881287526722e-06
8.660372354911216e-10,3.649029526244318e-06
8.676697761422987e-10,3.83345736872063e-06
8.693772979098387e-10,4.033975658382024e-06
8.711746838278674e-10,4.251303087711722e-06
8.732079059350737e-10,4.501027363822937e-06
8.750977009374468e-10,4.732837419907752e-06
8.767012168223831e-10,4.926657668129338e-06
8.782539085833556e-10,5.111163236203196e-06
8.799307656096969e-10,5.306257466777507e-06
8.817283833404236e-10,5.509229474713508e-06
8.836582321392248e-10,5.717834158057746e-06
8.858777211992208e-10,5.940792673987324e-06
8.887507650568553e-10,6.185927844916051e-06
8.904513525513057e-10,6.287808811830529e-06
8.921036494658382e-10,6.345106230498696e-06
8.935818144606305e-10,6.350304986376521e-06
8.948811576678864e-10,6.311614704545293e-06
8.961284446043541e-10,6.235373667967852e-06
8.973770103319496e-10,6.121653993125643e-06
8.986321184796446e-10,5.973005649733911e-06
8.998712014306285e-10,5.797910797157389e-06
9.011509492277992e-10,5.593856312685196e-06
9.025868940458897e-10,5.343034760846234e-06
9.04200414511095e-10,5.039853785953913e-06
9.0572562431679e-10,4.737776318018107e-06
9.071879274142457e-10,4.43480395557996e-06
9.086442268405729e-10,4.119487504838934e-06
9.100801188319539e-10,3.795621656521265e-06
9.115375381062996e-10,3.453938850691772e-06
9.130589387427797e-10,3.084400853815574e-06
9.146659577136383e-10,2.682478417183354e-06
9.163698773859134e-10,2.248412925172761e-06
9.181789465034081e-10,1.787956900511002e-06
9.200947298005746e-10,1.317507539325194e-06
9.221029509988366e-10,8.727298290843058e-07
9.241634206240976e-10,5.172190907959288e-07
9.260111467006519e-10,3.575438004281455e-07
9.275047769127357e-10,4.036443336261403e-07
9.287699962223517e-10,5.955722173208685e-07
9.299144537161958e-10,9.179125159385011e-07
9.30970043702504e-10,1.342191729249132e-06
9.319975846280375e-10,1.862669878534436e-06
9.330402041016917e-10,2.490018387391208e-06
9.341138992662592e-10,3.217879628009668e-06
9.352612750799141e-10,4.049576865100269e-06
9.365728534992191e-10,5.01383154047329e-06
9.383378492693396e-10,6.246346937063939e-06
9.398051184326727e-10,7.129881827573106e-06
9.41225798828675e-10,7.846515567452059e-06
9.425429880432377e-10,8.393456064747727e-06
9.438203683894518e-10,8.826972807676031e-06
9.451275648366914e-10,9.184358388036325e-06
9.464918484629618e-10,9.474128494601818e-06
9.479229636250139e-10,9.698189646056018e-06
9.494310533193962e-10,9.858589957609572e-06
9.510274643958516e-10,9.956672012565892e-06
9.527224482870361e-10,9.992729600420263e-06
9.545252962628519e-10,9.966581570540233e-06
9.564460078688758e-10,9.878156922479591e-06
9.584980272222664e-10,9.727884838226059e-06
9.607028774268417e-10,9.516737133511926e-06
9.630977193986855e-10,9.245580527027271e-06
9.657474611268869e-10,8.913502848087629e-06
9.687668748881879e-10,8.514680663888321e-06
9.723739905558371e-10,8.031861710120954e-06
9.770850652855775e-10,7.414617269134494e-06
9.83237992425752e-10,6.652732725175124e-06
9.889840223502525e-10,5.998676952440116e-06
9.941130948773794e-10,5.460008019498607e-06
9.970565474386898e-10,5.170883316420584e-06
1e-09,4.891720415841983e-06
1.000630955500867e-09,4.816225262053611e-06
1.001298740005363e-09,4.75439005933365e-06
1.002125230658969e-09,4.680960404597132e-06
1.003423588065541e-09,4.567342967877568e-06
1.006020302878686e-09,4.346502613115995e-06
1.011213732504975e-09,3.930363594377616e-06
1.016822914211581e-09,3.519979000854132e-06
1.022185356651113e-09,3.164295626997363e-06
1.027576697474727e-09,2.840180971880735e-06
1.032989644289967e-09,2.546602288774614e-06
1.03846868518118e-09,2.279776271366884e-06
1.044077305705689e-09,2.035844134612763e-06
1.049845614409043e-09,1.813182712405896e-06
1.055800545088058e-09,1.603075786538859e-06
1.062118230899228e-09,1.407887925054398e-06
1.068600828068485e-09,1.247447445372784e-06
1.074151789606842e-09,1.124396152016951e-06
1.081018748285982e-09,9.922307396867911e-07
1.088289714843329e-09,8.734520857013301e-07
1.095923350465732e-09,7.68826476290465e-07
1.104026637642415e-09,6.704446066358145e-07
1.11284294140838e-09,5.919729480140859e-07
1.120594716576593e-09,5.343254880501368e-07
1.13011770345632e-09,4.76743984990837e-07
1.140447476644469e-09,4.278428715007311e-07
1.151569976521718e-09,3.876088555737978e-07
1.163691190548722e-09,3.550225173986712e-07
1.176882099780101e-09,3.289427851574569e-07
1.191441539795665e-09,3.097197190268458e-07
1.207108734327576e-09,2.982710197906517e-07
1.224066482613328e-09,2.880520123919867e-07
1.245838487701177e-09,2.822138834105689e-07
1.269072348396832e-09,2.80608750327666e-07
1.296165753703961e-09,2.82037211330363e-07
1.328632737416798e-09,2.86119674634317e-07
1.368704089893542e-09,2.927936335428063e-07
1.420553614472219e-09,3.025721672795314e-07
1.491568051845005e-09,3.169715128624953e-07
1.598106068742556e-09,3.40220419540154e-07
1.78787593977418e-09,3.869259160425846e-07
2.155204520157956e-09,5.00574822360722e-07
2.619532632238042e-09,7.006264568396097e-07
3.219037724261784e-09,1.089223764806503e-06
3.919443273615697e-09,1.820281432032204e-06
4.570111811702742e-09,2.902094332736628e-06
5.150974870119897e-09,4.334562658344957e-06
5.677799222586491e-09,6.12451448781295e-06
6.165571436639957e-09,8.265676661437124e-06
6.635805889489115e-09,1.079484193199024e-05
7.111173432735713e-09,1.37975248631761e-05
7.597632292634496e-09,1.727233272498379e-05
7.963850805379169e-09,2.009603309938839e-05
8.246475544586985e-09,2.235206495320758e-05
8.498357025643227e-09,2.438209964870216e-05
8.725774393535482e-09,2.619595473767666e-05
8.920477866148535e-09,2.770526103275853e-05
9.087309511522285e-09,2.894386783504175e-05
9.235157130956487e-09,2.998279498956793e-05
9.372824227209692e-09,3.088872464795317e-05
9.50966655126364e-09,3.172240117034166e-05
9.657803832867798e-09,3.254368225415185e-05
9.84597503390835e-09,3.346881562247308e-05
1.002144259660964e-08,3.421793249954704e-05
1.021086223186688e-08,3.491533050503941e-05
1.038380513060184e-08,3.546198242218804e-05
1.055194538969539e-08,3.592074144253144e-05
1.07245858738784e-08,3.632861157059662e-05
1.090589582575605e-08,3.669764422376895e-05
1.109937614981963e-08,3.703461377854497e-05
1.13072864389085e-08,3.734199610225728e-05
1.153126002724309e-08,3.762087933339566e-05
1.177299486727536e-08,3.787263149626279e-05
1.203419528883051e-08,3.809895978063476e-05
1.231624515651933e-08,3.830179201791906e-05
1.261918427380511e-08,3.848293720605236e-05
1.293884601589762e-08,3.864330044047576e-05
1.325927035119772e-08,3.878096590484049e-05
1.354310786249158e-08,3.888936504756397e-05
1.376325257529741e-08,3.896784097216226e-05
1.394090035393695e-08,3.902977965873067e-05
1.410566326159044e-08,3.908816047116309e-05
1.427754663206864e-08,3.915232740381268e-05
1.447794351946059e-08,3.923440330376304e-05
1.466610262158746e-08,3.932080990839292e-05
1.484961454896204e-08,3.941504265466993e-05
1.504429591030705e-08,3.952595189888063e-05
1.526199148518218e-08,3.966205135692696e-05
1.551447210476466e-08,3.983237897395853e-05
1.577531737278927e-08,4.001746864737334e-05
1.603983430903704e-08,4.02093745896792e-05
1.631204961220561e-08,4.040640819684017e-05
1.659385747832184e-08,4.060570430233609e-05
1.688750512562895e-08,4.080489160209173e-05
1.719526749413874e-08,4.100175033918516e-05
1.751887434863835e-08,4.11938411705821e-05
1.783904311762956e-08,4.136808213751767e-05
1.816189141188545e-08,4.15278477450582e-05
1.849255520871046e-08,4.167550603947644e-05
1.883456269622231e-08,4.181235078504542e-05
1.919191502685291e-08,4.193965849808303e-05
1.956757990301071e-08,4.205817221935597e-05
1.996391861410533e-08,4.216846365831813e-05
2.03827522095295e-08,4.227109320679732e-05
2.082466097085255e-08,4.236657970720319e-05
2.128699869462485e-08,4.245522372210851e-05
2.175812059335343e-08,4.253651368565863e-05
2.220478687541607e-08,4.26078198152306e-05
2.257613745838561e-08,4.266507931321465e-05
2.286612196422062e-08,4.27103229513796e-05
2.311379455993442e-08,4.275102088707311e-05
2.335361502733582e-08,4.279400297255257e-05
2.361261829804181e-08,4.284639208891871e-05
2.391840750383863e-08,4.291852146046756e-05
2.4209702286127e-08,4.2998680157602e-05
2.450617524184594e-08,4.309153999389734e-05
2.483523477810203e-08,4.320602751625145e-05
2.517129285570144e-08,4.333195106247312e-05
2.550684975002076e-08,4.346262930936674e-05
2.585301685478762e-08,4.359823046456674e-05
2.621725383401166e-08,4.373756902711792e-05
2.660639260407488e-08,4.38790363818294e-05
2.702708872173949e-08,4.402082682368863e-05
2.748485527566996e-08,4.416086877496618e-05
2.798404551312353e-08,4.429719686933567e-05
2.852757846023605e-08,4.442810462634673e-05
2.91171612360816e-08,4.455222712371842e-05
2.969389227842885e-08,4.465825662795318e-05
3.025338291403293e-08,4.47486784703847e-05
3.081521162686878e-08,4.482888907244886e-05
3.139071287488583e-08,4.49015864699443e-05
3.199040110485707e-08,4.496861154718103e-05
3.262241214674167e-08,4.503106809027515e-05
3.329251322204561e-08,4.508960128616213e-05
3.400581957937687e-08,4.514472786322203e-05
3.476721270021044e-08,4.51969416856508e-05
3.558112788069802e-08,4.524674969703351e-05
3.64501439073339e-08,4.529465254052036e-05
3.737070314060538e-08,4.534104239352266e-05
3.832157049921016e-08,4.538591197472837e-05
