/M0/D X,/M0/D Y
0,2.229092561575885e-15
1e-09,5.840856867660536e-07
2e-09,9.093116706855073e-08
3e-09,2.389620535890172e-08
4e-09,2.123271025916751e-08
5e-09,2.157131344683116e-08
6e-09,2.214335810147094e-08
7e-09,2.28915465229148e-08
8e-09,2.383256432520462e-08
9.000000000000001e-09,2.501491361425358e-08
1e-08,2.649742232382566e-08
1.1e-08,2.835135306190262e-08
1.2e-08,3.06633599485734e-08
1.3e-08,3.353842368338203e-08
1.4e-08,3.710310977728243e-08
1.500000000000001e-08,4.150919739996515e-08
1.6e-08,4.693766878761392e-08
1.7e-08,5.360303459842833e-08
1.8e-08,6.175795627839484e-08
1.9e-08,7.169811400953215e-08
2e-08,8.376726035842451e-08
2.1e-08,9.836239641136679e-08
2.2e-08,1.159390088555029e-07
2.3e-08,1.370163110278219e-07
2.4e-08,1.621824335626899e-07
2.5e-08,1.92099502979914e-07
2.599999999999999e-08,2.27508518525485e-07
2.699999999999999e-08,2.692338759861905e-07
2.799999999999999e-08,3.181872789463855e-07
2.899999999999999e-08,3.753706120644526e-07
2.999999999999999e-08,4.4187712157992e-07
3.099999999999999e-08,5.188899582611843e-07
3.2e-08,6.076768029768258e-07
3.3e-08,7.095789479780445e-07
3.4e-08,8.259929028802505e-07
3.5e-08,9.583424141481074e-07
3.6e-08,1.108038837746648e-06
3.700000000000001e-08,1.276428212875069e-06
3.800000000000001e-08,1.46472427687974e-06
3.900000000000001e-08,1.673928129262562e-06
4.000000000000001e-08,1.904737302562766e-06
4.100000000000002e-08,2.157449493543478e-06
4.200000000000002e-08,2.431868826247697e-06
4.300000000000002e-08,2.727224746133966e-06
4.400000000000002e-08,3.042114846653488e-06
4.500000000000003e-08,3.374482497853606e-06
4.600000000000003e-08,3.721637703917195e-06
4.700000000000003e-08,4.080308890010859e-06
4.800000000000003e-08,4.446793236628812e-06
4.900000000000004e-08,4.81709355397077e-06
5.000000000000004e-08,5.187077387450035e-06
5.100000000000004e-08,5.552672572661891e-06
5.200000000000004e-08,5.910039674496426e-06
5.300000000000004e-08,6.255722333943226e-06
5.400000000000005e-08,6.586761988578385e-06
5.500000000000005e-08,6.900771395783911e-06
5.600000000000005e-08,7.195931090793626e-06
5.700000000000005e-08,7.471092673197277e-06
5.800000000000006e-08,7.725626993941725e-06
5.900000000000006e-08,7.959404938470101e-06
6.000000000000006e-08,8.172721071865695e-06
6.100000000000006e-08,8.36621344244145e-06
6.200000000000005e-08,8.540765066647441e-06
6.300000000000005e-08,8.697483087516284e-06
6.400000000000004e-08,8.837586589911617e-06
6.500000000000004e-08,8.962352898564215e-06
6.600000000000004e-08,9.073079466699357e-06
6.700000000000003e-08,9.171046743473988e-06
6.800000000000003e-08,9.257491422475717e-06
6.900000000000002e-08,9.333587420359046e-06
7.000000000000002e-08,9.400433465126773e-06
7.100000000000001e-08,9.459046027635376e-06
7.200000000000001e-08,9.510356415773555e-06
7.300000000000001e-08,9.555210996674201e-06
7.4e-08,9.594373674935453e-06
7.5e-08,9.628529915411217e-06
7.599999999999999e-08,9.658291746929517e-06
7.699999999999999e-08,9.68420331276679e-06
7.799999999999998e-08,9.706746642963268e-06
7.899999999999998e-08,9.726347412998056e-06
7.999999999999998e-08,9.74338052467454e-06
8.099999999999997e-08,9.75817540062403e-06
8.199999999999997e-08,9.771020926127925e-06
8.299999999999996e-08,9.782170003413279e-06
8.399999999999996e-08,9.791843706362021e-06
8.499999999999995e-08,9.8002350395878e-06
8.599999999999995e-08,9.807512316636269e-06
8.699999999999995e-08,9.813822178958368e-06
8.799999999999994e-08,9.819292281281089e-06
8.899999999999994e-08,9.824033670901294e-06
8.999999999999993e-08,9.828142888831557e-06
9.099999999999993e-08,9.831703820125004e-06
9.199999999999992e-08,9.834789319453651e-06
9.299999999999992e-08,9.837462636342742e-06
9.399999999999992e-08,9.839778662594838e-06
9.499999999999991e-08,9.841785022467344e-06
9.599999999999991e-08,9.843523024217317e-06
9.69999999999999e-08,9.845028489737318e-06
9.79999999999999e-08,9.846332477225015e-06
9.899999999999989e-08,9.847461910165576e-06
9.999999999999989e-08,9.848440124397342e-06
1.009999999999999e-07,7.634374471069257e-06
1.019999999999999e-07,7.995291000642476e-06
1.029999999999999e-07,8.208743848072408e-06
1.039999999999999e-07,8.396201636633772e-06
1.049999999999999e-07,8.562942848413395e-06
1.059999999999999e-07,8.717367344151152e-06
1.069999999999999e-07,8.855262383734097e-06
1.079999999999999e-07,8.976374663872462e-06
1.089999999999999e-07,9.081820194383548e-06
1.099999999999998e-07,9.173137025836067e-06
1.109999999999998e-07,9.251924063644695e-06
1.119999999999998e-07,9.319706757903927e-06
1.129999999999998e-07,9.377887495183084e-06
1.139999999999998e-07,9.427730390260334e-06
1.149999999999998e-07,9.470360911380608e-06
1.159999999999998e-07,9.506772308421539e-06
1.169999999999998e-07,9.537835230732316e-06
1.179999999999998e-07,9.564308715790943e-06
1.189999999999998e-07,9.586851537579157e-06
1.199999999999998e-07,9.606033319263272e-06
1.209999999999998e-07,9.622345057826779e-06
1.219999999999998e-07,9.636208863372988e-06
1.229999999999998e-07,9.647986818835906e-06
1.239999999999998e-07,9.657988934577269e-06
1.249999999999998e-07,9.666480217167813e-06
1.259999999999998e-07,9.673686899535949e-06
1.269999999999998e-07,9.679801895571209e-06
1.279999999999998e-07,9.684989549873457e-06
1.289999999999998e-07,9.689389755324579e-06
1.299999999999998e-07,9.693121509494956e-06
1.309999999999998e-07,9.69628597698596e-06
1.319999999999998e-07,9.698969119637322e-06
1.329999999999997e-07,9.701243950782566e-06
1.339999999999997e-07,9.703172463851328e-06
1.349999999999997e-07,9.704807279902523e-06
1.359999999999997e-07,9.70619305328433e-06
1.369999999999997e-07,9.707367669665477e-06
1.379999999999997e-07,9.708363266199371e-06
1.389999999999997e-07,9.70920709957902e-06
1.399999999999997e-07,9.709922284189776e-06
1.409999999999997e-07,9.710528419473034e-06
1.419999999999997e-07,9.71104212288072e-06
1.429999999999997e-07,9.711477482460994e-06
1.439999999999997e-07,9.711846441065109e-06
1.449999999999997e-07,9.712159122425088e-06
1.459999999999997e-07,9.712424107824322e-06
1.469999999999997e-07,9.712648670808988e-06
1.479999999999997e-07,9.712838976265869e-06
1.489999999999997e-07,9.713000249254686e-06
1.499999999999997e-07,9.713136918174189e-06
1.509999999999997e-07,9.713252736148387e-06
1.519999999999997e-07,9.713350883941983e-06
1.529999999999997e-07,9.713434057204139e-06
1.539999999999997e-07,9.713504540428379e-06
1.549999999999997e-07,9.713564269641973e-06
1.559999999999996e-07,9.713614885545361e-06
1.569999999999996e-07,9.713657778550761e-06
1.579999999999996e-07,9.713694126955558e-06
1.589999999999996e-07,9.713724929296652e-06
1.599999999999996e-07,9.713751031770164e-06
1.609999999999996e-07,9.713773151469946e-06
1.619999999999996e-07,9.713791896083394e-06
1.629999999999996e-07,9.713807780581018e-06
1.639999999999996e-07,9.713821241361739e-06
1.649999999999996e-07,9.713832648240988e-06
1.659999999999996e-07,9.713842314607498e-06
1.669999999999996e-07,9.713850506065301e-06
1.679999999999996e-07,9.713857447595809e-06
1.689999999999996e-07,9.713863329946996e-06
