/M0/D X,/M0/D Y
0,1.09579364896209e-14
9.917890024224408e-13,5.621148715048646e-09
1.733148387335177e-12,5.281024552192482e-09
3.215867157160651e-12,4.573363828495552e-09
6.181304696811597e-12,3.369569473972097e-09
1.211217977611349e-11,1.639461991927509e-09
1.893951690221579e-11,4.458843337791411e-10
2.584396843370479e-11,-1.958435316645494e-10
3.338773599818456e-11,-5.169177203534635e-10
4.180860931107202e-11,-6.275176311546014e-10
5.153532288494458e-11,-6.077117716770014e-10
6.318900687610018e-11,-5.139027456182341e-10
7.767304170426498e-11,-3.881582490947549e-10
9.665506732268742e-11,-2.602805664471012e-10
1.241678653723145e-10,-1.460027722922838e-10
1.68546850786399e-10,-5.435894249515241e-11
2.193254571995508e-10,-1.092042526610393e-11
2.705045668924691e-10,-6.824818820583457e-12
3.25573891342394e-10,-9.379937654650368e-11
3.580631344204135e-10,-3.324981388948841e-10
3.904141025476617e-10,-8.776481863642284e-10
4.152019488384749e-10,-1.609986291671842e-09
4.338263048805707e-10,-2.326406071481165e-09
4.501693974789528e-10,-2.99506696373456e-09
4.654920127492012e-10,-3.514606066722826e-09
4.835107489626308e-10,-4.426853666378811e-09
4.967794770924318e-10,-5.060314283531545e-09
5.12190682624867e-10,-5.896612420979182e-09
5.228189522444363e-10,-6.721873004333975e-09
5.315805627489939e-10,-7.470384845543051e-09
5.403338827302184e-10,-8.370197073246841e-09
5.518833663991283e-10,-9.65190668052404e-09
5.644719523149497e-10,-1.096193796547837e-08
5.795518949108058e-10,-1.196310258863851e-08
5.926184113955303e-10,-1.243878573463921e-08
6.049556270499847e-10,-1.288743194217954e-08
6.213171669333531e-10,-1.353197610699528e-08
6.467744409557968e-10,-1.47742783162214e-08
6.614162047290856e-10,-1.590276693232793e-08
6.762250532122432e-10,-1.745498908380926e-08
6.895824651764005e-10,-1.925681706989575e-08
7.013420122340874e-10,-2.11857519667275e-08
7.12296297343446e-10,-2.319622349819251e-08
7.225172977695668e-10,-2.501914192558226e-08
7.320796601183031e-10,-2.612447049622899e-08
7.411342277040097e-10,-2.551861487583987e-08
7.499106837864271e-10,-2.132204644564314e-08
7.568542430665717e-10,-1.311318394915191e-08
7.623107669861868e-10,-2.031095474333736e-09
7.669782069992708e-10,1.148019742126036e-08
7.711844283599077e-10,2.73857785063988e-08
7.751152254228296e-10,4.592517464795057e-08
7.788638686129364e-10,6.734861952166985e-08
7.824670886009951e-10,9.176630378301212e-08
7.859486335152765e-10,1.192435711620419e-07
7.893290605007163e-10,1.498466535280512e-07
7.926258957841095e-10,1.836540764343919e-07
7.958525251472896e-10,2.207536503782864e-07
7.990166116607845e-10,2.612215778462494e-07
8.021201644477281e-10,3.026381714839431e-07
8.056526602919912e-10,3.530471686232736e-07
8.089554588404463e-10,4.138673831331879e-07
8.112728910908616e-10,4.593506783078715e-07
8.139072042924694e-10,5.16040721142837e-07
8.164503870261161e-10,5.765855794968507e-07
8.188688357391185e-10,6.40472711916272e-07
8.212018347592722e-10,7.090783256982624e-07
8.234169948560618e-10,7.817673490988563e-07
8.255199654790225e-10,8.586332135466626e-07
8.27535118325817e-10,9.401000290433595e-07
8.294984741588416e-10,1.026818565628475e-06
8.314612569210131e-10,1.120080628859528e-06
8.334855740698259e-10,1.222047545042744e-06
8.356319121576204e-10,1.335532093754043e-06
8.379249015332444e-10,1.462348371727595e-06
